file_name,block_instructions,target_example,thisN,thisTrialN,thisRepN,target_presence,opacity_1,opacity_2,opacity_3,opacity_4,opacity_5,opacity_6,opacity_7,opacity_8,opacity_9,opacity_10,opacity_11,opacity_12,n_distract,n_items,target_ori,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,WelcomeText.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,InformedConsent.started,text_4.started,InformedConsent.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,key_resp_4.started,example_target.started,text_3.started,blocks.key_resp_4.keys,blocks.key_resp_4.rt,blocks.key_resp_4.duration,FixCross.started,fixCross.started,FixCross.stopped,Stimulus.started,key_resp.started,Stimulus.stopped,practice_trials.key_resp.keys,practice_trials.key_resp.corr,practice_trials.key_resp.rt,practice_trials.key_resp.duration,BlankScreen.started,text.started,BlankScreen.stopped,text.stopped,fixCross.stopped,ExperimentStart.started,text_2.started,key_resp_5.started,ExperimentStart.stopped,blocks.key_resp_5.keys,blocks.key_resp_5.rt,blocks.key_resp_5.duration,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,ThankYou.started,key_resp_3.started,Thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,leeftijd,gender,links/rechtshandig,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01934159999973417,0.0484188999998878,0.0484188999998878,19.840026399999715,space,19.771345499999825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.840093299999808,19.84744049999972,24.797261499999877,y,4.951046799999858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,7,8,117,space,7.214106400000219,None,1,1,0.7387867000002188,None,,,,0,0,0,0,0,0,0,1,,,,,32.09588789999998,,,,,,,,,,,,,,,24.837920099999792,24.837920099999792,24.837920099999792,space,7.214106400000219,None,32.09020789999977,32.09588789999998,32.578352300000006,32.5836432000001,32.60133079999969,33.344827299999906,1,1,0.7387867000002188,None,33.34491029999981,33.36136949999991,33.545387899999696,,,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,117,space,7.214106400000219,None,0,1,0.7588567000002513,None,,,,0,0,0,0,0,1,1,7,,,,,33.56138800000008,,,,,,,,,,,,,,,,,,,,,33.54616189999979,33.56138800000008,34.045208,34.050433899999916,34.06786349999993,34.829000899999755,0,1,0.7588567000002513,None,34.82917479999969,34.844712699999945,35.02817460000006,35.04435620000004,,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,2,2,0,0,1,1,1,1,1,1,1,0,0,0,0,1,7,8,117,space,7.214106400000219,None,0,1,2.5121471000002202,None,,,,0,0,0,0,0,2,2,5,,,,,35.04435620000004,,,,,,,,,,,,,,,,,,,,,35.02882490000002,35.04435620000004,35.52815890000011,35.532883200000015,35.54942619999974,38.07778419999977,0,1,2.5121471000002202,None,38.07794419999982,38.0934115,38.277759499999775,38.294076099999984,35.54942619999974,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,3,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,11,12,117,space,7.214106400000219,None,1,1,2.5018238000002384,None,,,,0,0,0,0,0,3,3,0,,,,,38.294076099999984,,,,,,,,,,,,,,,,,,,,,38.27834099999973,38.294076099999984,38.77745259999983,38.78169509999998,38.79763980000007,41.31127169999991,1,1,2.5018238000002384,None,41.31144779999977,41.326356900000064,41.51018750000003,41.52640119999978,38.79763980000007,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,117,space,7.214106400000219,None,1,1,0.5003050999998777,None,,,,0,0,0,0,0,4,4,3,,,,,41.52640119999978,,,,,,,,,,,,,,,,,,,,,41.510721600000124,41.52640119999978,42.010643399999935,42.01523670000006,42.030822499999886,42.54457559999992,1,1,0.5003050999998777,None,42.544779599999856,42.55952290000005,42.74387660000002,42.7600910000001,42.030822499999886,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,5,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,4,117,space,7.214106400000219,None,0,1,0.8052198999998836,None,,,,0,0,0,0,0,5,5,6,,,,,42.7600910000001,,,,,,,,,,,,,,,,,,,,,42.74454770000011,42.7600910000001,43.24377249999998,43.24819780000007,43.26518179999994,44.07756269999982,0,1,0.8052198999998836,None,44.0777522999997,44.092623699999876,44.27686559999984,44.293054799999936,43.26518179999994,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,6,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,12,117,space,7.214106400000219,None,1,0,2.7962916000001314,None,,,,0,0,0,0,0,6,6,4,,,,,44.293054799999936,,,,,,,,,,,,,,,,,,,,,44.27747959999988,44.293054799999936,44.776689799999986,44.78177219999998,44.799365599999874,47.60959159999993,1,0,2.7962916000001314,None,47.609754000000066,47.62522149999995,47.80973629999971,47.82589169999983,44.799365599999874,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
tilted.xlsx,The target is tilted.,117,7,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,117,space,7.214106400000219,None,1,1,1.422684499999832,None,,,,0,0,0,0,0,7,7,2,,,,,47.82589169999983,,,,,,,,,,,,,,,,,,,,,47.81038409999974,47.82589169999983,48.30957959999978,48.314096399999926,48.33018979999997,49.75965279999991,1,1,1.422684499999832,None,49.75982560000011,49.77496659999997,49.95916050000005,49.97551590000012,48.33018979999997,,,,,,,,,,,,,,,,,,,830,21,M,L,2026-02-23_11h44.09.261,VisualSearch_2526_3,,2025.2.4,2026-02-23 11h44.09.483072 +0100,
