file_name,block_instructions,target_example,thisN,thisTrialN,thisRepN,target_presence,opacity_1,opacity_2,opacity_3,opacity_4,opacity_5,opacity_6,opacity_7,opacity_8,opacity_9,opacity_10,opacity_11,opacity_12,n_distract,n_items,target_ori,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,WelcomeText.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,InformedConsent.started,text_4.started,InformedConsent.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,key_resp_4.started,example_target.started,text_3.started,blocks.key_resp_4.keys,blocks.key_resp_4.rt,blocks.key_resp_4.duration,FixCross.started,fixCross.started,FixCross.stopped,Stimulus.started,key_resp.started,Stimulus.stopped,practice_trials.key_resp.keys,practice_trials.key_resp.corr,practice_trials.key_resp.rt,practice_trials.key_resp.duration,BlankScreen.started,text.started,text.stopped,BlankScreen.stopped,fixCross.stopped,ExperimentStart.started,text_2.started,key_resp_5.started,ExperimentStart.stopped,blocks.key_resp_5.keys,blocks.key_resp_5.rt,blocks.key_resp_5.duration,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,ThankYou.started,key_resp_3.started,Thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,leeftijd,gender,links/rechtshandig,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01568169999973179,0.025997199999437726,0.025997199999437726,43.16105679999964,space,43.11134420000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.16119619999972,43.16905929999939,77.06389779999972,y,33.897903200000655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,135,space,14.877360200000112,None,1,1,1.6397048999997423,None,,,,0,0,0,1,0,0,0,2,,,,,92.01643409999997,,,,,,,,,,,,,,,77.10004070000014,77.10004070000014,77.10004070000014,space,14.877360200000112,None,92.0113526999994,92.01643409999997,92.50626449999982,92.51141199999984,92.52671699999973,94.17259599999943,1,1,1.6397048999997423,None,94.17278989999977,94.18825819999984,94.38844019999942,94.37235989999954,,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,11,12,135,space,14.877360200000112,None,1,1,1.4245264999999563,None,,,,0,0,0,1,0,1,1,0,,,,,94.38844019999942,,,,,,,,,,,,,,,,,,,,,94.37303659999998,94.38844019999942,94.87214080000012,94.87687779999942,94.88761739999973,96.32183149999946,1,1,1.4245264999999563,None,96.32200579999972,96.33743819999927,96.53719639999963,96.52144799999951,94.88761739999973,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,2,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,7,8,135,space,14.877360200000112,None,1,1,1.9687352999999348,None,,,,0,0,0,1,0,2,2,1,,,,,96.53719639999963,,,,,,,,,,,,,,,,,,,,,96.52217509999991,96.53719639999963,97.02063599999929,97.02273299999979,97.0367513000001,99.01993330000005,1,1,1.9687352999999348,None,99.02010259999952,99.03572619999977,99.23617359999935,99.22008449999976,97.0367513000001,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,135,space,14.877360200000112,None,0,1,1.015602100000251,None,,,,0,0,0,1,0,3,3,7,,,,,99.23617359999935,,,,,,,,,,,,,,,,,,,,,99.22076169999946,99.23617359999935,99.71974879999925,99.72469079999973,99.7404034000001,100.76937319999979,0,1,1.015602100000251,None,100.76958339999965,100.78495469999962,100.98507849999987,100.9693871999998,99.7404034000001,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,4,4,0,0,1,1,1,1,1,1,1,0,0,0,0,1,7,8,135,space,14.877360200000112,None,0,1,2.7452345000001515,None,,,,0,0,0,1,0,4,4,5,,,,,100.98507849999987,,,,,,,,,,,,,,,,,,,,,100.9701427,100.98507849999987,101.46905459999925,101.47384859999966,101.49329669999952,104.25120199999947,0,1,2.7452345000001515,None,104.2513958999998,104.26667199999974,104.46692519999942,104.45103859999926,101.49329669999952,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,space,14.877360200000112,None,1,1,0.6660578000000896,None,,,,0,0,0,1,0,5,5,3,,,,,104.46692519999942,,,,,,,,,,,,,,,,,,,,,104.45176809999975,104.46692519999942,104.95099260000006,104.95657349999965,104.97217309999996,105.65061639999931,1,1,0.6660578000000896,None,105.65079139999943,105.66606339999998,105.8666733,105.8504454999993,104.97217309999996,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,6,6,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,4,135,space,14.877360200000112,None,0,1,1.196160499999678,None,,,,0,0,0,1,0,6,6,6,,,,,105.8666733,,,,,,,,,,,,,,,,,,,,,105.8511396999993,105.8666733,106.3502853,106.35594709999987,106.3716131000001,107.5826932,0,1,1.196160499999678,None,107.5828518999997,107.59883809999974,107.79905429999963,107.78291720000016,106.3716131000001,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
vertical.xlsx,The target is tilted.,135,7,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,12,135,space,14.877360200000112,None,0,1,3.2651575999998386,None,,,,0,0,0,1,0,7,7,4,,,,,107.79905429999963,,,,,,,,,,,,,,,,,,,,,107.78373659999943,107.79905429999963,108.28286859999935,108.28816740000002,108.30295249999926,111.58112900000015,0,1,3.2651575999998386,None,111.5813492999996,111.59666489999927,111.79694109999946,111.78101199999946,108.30295249999926,,,,,,,,,,,,,,,,,,,885,21,M,R,2026-02-18_12h12.51.811,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h12.52.009513 +0100,
